 TWA\TWS	        0	        1	        2	        3	        4	        5	        6	        7	        8	        9	       10	       11	       12	       13	       14	       15	       16	       17	       18	       19	       20	       21	       22	       23	       24	       25	       26	       27	       28	       29	       30	       31	       32	       33	       34	       35	       36	       37	       38	       39	
38      	 0.000000	 2.290463	 4.264284	 5.677952	 6.580483	 7.091169	 7.317902	 7.379660	 7.451199	 7.702589	 8.229393	 9.029128	 9.781634	 10.172548	 10.228357	 10.060763	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	 9.781468	
39      	 0.000000	 2.331093	 4.345170	 5.797311	 6.730987	 7.262788	 7.513389	 7.612458	 7.721550	 7.995056	 8.526824	 9.317790	 10.057782	 10.441799	 10.496624	 10.331989	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	 10.057623	
40      	 0.000000	 2.370192	 4.423614	 5.914326	 6.879725	 7.433238	 7.709103	 7.848263	 7.997688	 8.294517	 8.830556	 9.610430	 10.335390	 10.711171	 10.764822	 10.603719	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	 10.335240	
41      	 0.000000	 2.407721	 4.499554	 6.028940	 7.026651	 7.602491	 7.905050	 8.087153	 8.279761	 8.601153	 9.140751	 9.907150	 10.614495	 10.980667	 11.032947	 10.875966	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	 10.614355	
42      	 0.000000	 2.443641	 4.572927	 6.141090	 7.171721	 7.770515	 8.101235	 8.329205	 8.567919	 8.915143	 9.457571	 10.208053	 10.895135	 11.250290	 11.300999	 11.148744	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	 10.895006	
43      	 0.000000	 2.477913	 4.643671	 6.250718	 7.314889	 7.937281	 8.297665	 8.574496	 8.862308	 9.236665	 9.781177	 10.513239	 11.177347	 11.520043	 11.568975	 11.422064	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	 11.177230	
44      	 0.000000	 2.510496	 4.711723	 6.357764	 7.456109	 8.102759	 8.494344	 8.823103	 9.163078	 9.565900	 10.111730	 10.822812	 11.461169	 11.789930	 11.836874	 11.695939	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	 11.461065	
45      	 0.000000	 2.541353	 4.777021	 6.462166	 7.595337	 8.266920	 8.691280	 9.075102	 9.470377	 9.903026	 10.449393	 11.136873	 11.746638	 12.059953	 12.104694	 11.970384	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	 11.746549	
46      	 0.000000	 2.570443	 4.839501	 6.563866	 7.732526	 8.429732	 8.888477	 9.330572	 9.784353	 10.248223	 10.794326	 11.455524	 12.033791	 12.330116	 12.372433	 12.245410	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	 12.033718	
47      	 0.000000	 2.597727	 4.899102	 6.662803	 7.867633	 8.591167	 9.085942	 9.589590	 10.105156	 10.601670	 11.146692	 11.778868	 12.322667	 12.600422	 12.640089	 12.521031	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	 12.322610	
48      	 0.000000	 2.623167	 4.955760	 6.758917	 8.000611	 8.751194	 9.283680	 9.852232	 10.432932	 10.963547	 11.506652	 12.107005	 12.613302	 12.870873	 12.907660	 12.797259	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	 12.613263	
49      	 0.000000	 2.646723	 5.009414	 6.852147	 8.131415	 8.909783	 9.481698	 10.118575	 10.767830	 11.334033	 11.874367	 12.440039	 12.905734	 13.141473	 13.175146	 13.074107	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	 12.905714	
50      	 0.000000	 2.668355	 5.060000	 6.942435	 8.260000	 9.066904	 9.680000	 10.388697	 11.110000	 11.713308	 12.250000	 12.778071	 13.200000	 13.412225	 13.442543	 13.351589	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	 13.200000	
51      	 0.000000	 2.688060	 5.107483	 7.029673	 8.386207	 9.222409	 9.878423	 10.662314	 11.459015	 12.100881	 12.633094	 13.120761	 13.495886	 13.682982	 13.709714	 13.629538	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	 13.495907	
52      	 0.000000	 2.705975	 5.151932	 7.113565	 8.509421	 9.375671	 10.076123	 10.937699	 11.812151	 12.493588	 13.020724	 13.466002	 13.792171	 13.952992	 13.975976	 13.907067	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	 13.792213	
53      	 0.000000	 2.722274	 5.193446	 7.193769	 8.628914	 9.525946	 10.272086	 11.212766	 12.166113	 12.887594	 13.409349	 13.811244	 14.087381	 14.221356	 14.240508	 14.183112	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	 14.087441	
54      	 0.000000	 2.737128	 5.232121	 7.269943	 8.743958	 9.672488	 10.465297	 11.485427	 12.517604	 13.279065	 13.795425	 14.153936	 14.380043	 14.487172	 14.502493	 14.456607	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	 14.380118	
